,Hybrid Com LCOH,Hybrid Com NG Price Change,Hybrid Com NG Payback [yrs],Hybrid Com Pro Price Change,Hybrid Com Pro Payback [yrs],Hybrid Ind LCOH,Hybrid Ind NG Price Change,Hybrid Ind NG Payback [yrs],Hybrid Ind Pro Price Change,Hybrid Ind Pro Payback [yrs],CSP Com LCOH,CSP Com NG Price Change,CSP Com NG Payback [yrs],CSP Com Pro Price Change,CSP Com Pro Payback [yrs],CSP Ind LCOH,CSP Ind NG Price Change,CSP Ind NG Payback [yrs],CSP Ind Pro Price Change,CSP Ind Pro Payback [yrs]
Oregon,4.680709683350357,0.3603985489394153,16.424367975325264,,,4.876905548819742,1.2773528348710903,30.886310030268895,,,3.8835174677736233,0.12870309960316775,13.96233011083879,,,3.8835174677736233,0.8134736106681468,27.741863883359077,,
Pennsylvania,7.941201874989787,1.4987105191087142,34.87228182335384,1.9562958361215796,43.75645417059594,8.107587061253577,1.7678597363959239,41.82607719345035,2.0182365651305108,47.54539160815382,6.31747688350918,0.9878031299979797,32.35814774151948,1.3518267007330727,44.200893808032454,6.31747688350918,1.1567316847009512,37.43347796018842,1.3518267007330727,44.200893808032454
Rhode Island,5.787577757990724,0.4155436857182364,16.870331125639364,,,5.927618623096079,0.8772187705757041,22.947426409504274,,,5.0511674859238225,0.23543018153540035,15.752391862075207,,,5.0511674859238225,0.5996552782515603,22.787138238077493,,
South Carolina,6.477798990481404,1.2375121293228895,29.3270706455423,,,6.766199980005304,3.276342388010228,85.43200494570105,,,5.2743586073948725,0.8218288921570218,27.950386230132374,,,5.2743586073948725,2.3334757100028263,107.42295856117384,,
South Dakota,5.722618762542041,1.6980503543304828,36.80484773592536,1.8378967332219391,39.22242697730609,5.846714380630449,2.2108220922328297,48.725092243085705,1.8994368364148022,42.27123359996453,4.666613582674475,1.2001742476141075,38.84924534405713,1.3142145215345769,42.81034499659586,4.666613582674475,1.5627497790561329,52.90267496250409,1.3142145215345769,42.81034499659586
Tennessee,5.998066848712798,1.079153528667872,26.65109412991803,1.9744938500931306,41.11171457810488,6.274682220876347,2.6365271990520482,62.45137071912541,2.111669834305155,48.933521155038974,4.919683733578733,0.7053457476545593,25.148039324647335,1.4397142244377548,47.63000463829761,4.919683733578733,1.851230242126003,68.00676451983902,1.4397142244377548,47.63000463829761
Texas,3.6909348788030942,0.557389345261754,18.86497846838107,,,3.868412410817801,2.9253695225905902,62.72754620365935,,,3.123931406583741,0.31814232645572305,17.2172145664744,,,3.123931406583741,2.1699270480509605,91.28388658937182,,
U.S. Total,7.3913266492269445,1.7402584979950184,38.27693085550557,2.4147963267391757,51.417893632804486,7.649916959545249,4.737538126576151,165.68508994180448,2.534265169575075,60.784315307018865,5.966782954958685,1.2121235434409408,39.24731149610316,1.7566564818473944,62.562850553641915,5.966782954958685,3.4751655316158163,854.1226497853542,1.7566564818473944,62.562850553641915
Utah,3.4466676744966276,0.26819696828525863,15.116688385196806,,,3.616519218807579,0.7884701867869912,22.384646607107186,,,2.968552619345284,0.09227514445493311,13.375544713857005,,,2.968552619345284,0.4680325297311664,20.0623798275253,,
Vermont,7.320340493890964,1.720820554579636,35.604281371033224,,,7.61636747111862,3.06097972333704,67.70770553996307,,,6.113138008570877,1.2721281285456838,41.305309391597156,,,6.113138008570877,2.2594710789500803,99.66841855253669,,
Virginia,6.089920130630385,1.196679374616436,29.20758787701159,1.6334789754077341,36.76013910518248,6.177272353418872,2.608599241403227,59.5997021757209,1.6712529095865394,38.509564695600844,4.887875433577147,0.7630929339498349,26.50960125661397,1.113675863168496,36.0771140192389,4.887875433577147,1.8553676400422632,68.25761972426923,1.113675863168496,36.0771140192389
Washington,4.841375221453064,0.4531812993432718,17.725971303440936,,,5.109671334303424,0.6817478579550551,21.634386722686163,,,3.9719338024164554,0.19221082024884822,15.014405040814378,,,3.9719338024164554,0.3072839184995788,17.020849179135812,,
West Virginia,7.070141780993632,1.2684413139991244,30.7499635208111,,,7.244846226570611,5.7021714076899555,300.7132201631604,,,5.627727546351853,0.8056454970102902,27.547587729021057,,,5.627727546351853,4.206182915670049,-461.7510577999868,,
Wisconsin,6.283342936225859,1.7177323922464114,36.572577038231444,2.1159647588523964,43.35329802447405,6.512815838948002,2.3803834837401716,53.49212705183045,2.229762379840318,50.01307006228039,5.16622824870113,1.2345471192229733,40.00469126955223,1.5619778074391915,52.86770664297748,5.16622824870113,1.6814565430675679,58.59694412411358,1.5619778074391915,52.86770664297748
Wyoming,4.587027847258641,0.8104568730472251,22.402332386024746,,,4.750639947084699,1.747829476527847,38.49413899052985,,,3.8310375019928995,0.5120745736326533,20.94911428226558,,,3.8310375019928995,1.215919937295979,39.37457988830211,,
